título,autor,ano,isbn,status
Vidas Secas,Graciliano Ramos,1938,9788501010490,disponível
Capitães da Areia,Jorge Amado,1937,9788535911473,disponível
Grande Sertão: Veredas,João Guimarães Rosa,1956,9788520923580,disponível
A Coelhinha Mei Mei,Laufey,2026,9786554851947,disponível
Dom Casmurro,Machado de Assis,1899,9788535914849,disponível
Memórias Póstumas de Brás Cubas,Machado de Assis,1881,9788535902556,emprestado
Mp,oi,2009,1234567890123,disponível
Hello Kitty and friends,Sanrio,2015,1234567890123,emprestado
Hello Litty and Friends 2,Sanrio,2016,1234567890123,disponível
Snoopy e seus amigos,Alfred,2019,1234567890098,disponível
